GO	Pvalue	Odds	name	defin
GO:0009353	0.000275388	69.44048438	mitochondrial oxoglutarate dehydrogenase complex	"A complex of multiple copies of three enzymatic components: oxoglutarate dehydrogenase (lipoamide) ; EC:1.2.4.2 (E1), dihydrolipoamide S-succinyltransferase ; EC:2.3.1.61 (E2) and dihydrolipoamide dehydrogenase ; EC:1.8.1.4 (E3); catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and carbon dioxide (CO2) within the mitochondrial matrix. An example of this complex is found in Mus musculus." [GOC:mtg_sensu, MetaCyc:CPLX66-42, PMID:10848975]
GO:0106046	0.005004746	46.29047128	guanine deglycation, glyoxal removal	"The removal of glyoxal from a glycated guanine, to form glycolate and a deglycated guanine." [PMID:28596309]
GO:1990795	1.42254E-05	92.59368334	rod bipolar cell terminal bouton	"A specialized region of the axon terminus portion of a rod bipolar axon. A rod bipolar cell is a neuron found in the retina and having connections with rod photoreceptor cells and neurons in the inner plexiform layer." [PMID:19883736]
GO:0006695	2.12848E-06	7.277988238	cholesterol biosynthetic process	"The chemical reactions and pathways resulting in the formation of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones." [GOC:ai]
GO:0036524	0.005004746	46.29047128	protein deglycase activity	"Catalysis of the removal of a sugar or dicarbonyl from a lysine residue of a glycated protein." [GOC:bf, GOC:PARL, MetaCyc:RXN-17630, MetaCyc:RXN-17632, MetaCyc:RXN-17634, PMID:14568004, PMID:25416785, PMID:26873906, RHEA:49548, RHEA:49552, RHEA:49556]
GO:0032196	0.005004746	46.29047128	transposition	"Any process involved in mediating the movement of discrete segments of DNA between nonhomologous sites." [GOC:jp, ISBN:1555812090]
GO:0034242	9.31032E-05	30.86437762	negative regulation of syncytium formation by plasma membrane fusion	"Any process that decreases the frequency, rate or extent of the formation of a syncytium, a mass of cytoplasm containing several nuclei enclosed within a single plasma membrane, by the fusion of the plasma membranes of two or more individual cells." [GOC:mah]
GO:1902912	0.005004746	46.29047128	pyruvate kinase complex	"A protein complex which is capable of pyruvate kinase activity." [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:24606918]
GO:0005024	0.004537291	7.122336963	transforming growth factor beta-activated receptor activity	"Combining with a transforming growth factor beta (TGFbeta) and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate." [GOC:mah, GOC:signaling]
GO:0045296	0.003944082	1.930045476	cadherin binding	"Interacting selectively and non-covalently with cadherin, a type I membrane protein involved in cell adhesion." [GOC:bf]
GO:0032966	4.20298E-05	12.62777385	negative regulation of collagen biosynthetic process	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of collagen, any of a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals." [GOC:mah]
GO:0000246	0.009734104	23.14516684	delta24(24-1) sterol reductase activity	"Catalysis of the reaction: ergosterol + NADP(+) = ergosta-5,7,22,24(24(1))-tetraen-3beta-ol + H(+) + NADPH." [EC:1.3.1.71, RHEA:18504]
GO:0006739	0.001113999	11.57396959	NADP metabolic process	"The chemical reactions and pathways involving nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions; metabolism may be of either the oxidized form, NADP, or the reduced form, NADPH." [GOC:mah]
GO:0031095	0.009734104	23.14516684	platelet dense tubular network membrane	"The lipid bilayer surrounding the platelet dense tubular network." [GOC:mah, PMID:1322202]
GO:0019249	0.009734104	23.14516684	lactate biosynthetic process	"The chemical reactions and pathways resulting in the formation of lactate, the anion of lactic acid." [GOC:go_curators]
GO:0005737	0.007974182	1.161520073	cytoplasm	"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures." [ISBN:0198547684]
GO:0010763	0.003864918	5.511580355	positive regulation of fibroblast migration	"Any process that increases the rate, frequency or extent of fibroblast cell migration. Fibroblast cell migration is accomplished by extension and retraction of a pseudopodium." [GOC:BHF, GOC:dph, GOC:tb]
GO:0015785	0.009734104	23.14516684	NONE	NONE
GO:0055114	0.000112121	1.825494587	oxidation-reduction process	"A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons." [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph]
GO:0009062	0.00358639	7.715887979	fatty acid catabolic process	"The chemical reactions and pathways resulting in the breakdown of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes." [GOC:go_curators]
GO:0097284	0.004537291	7.122336963	hepatocyte apoptotic process	"Any apoptotic process in a hepatocyte, the main structural component of the liver." [CL:0000182, GOC:jc, GOC:mtg_apoptosis, PMID:15856020]
GO:0016655	0.000505219	15.43205119	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	"Catalysis of an oxidation-reduction (redox) reaction in which NADH or NADPH acts as a hydrogen or electron donor and reduces a quinone or a similar acceptor molecule." [GOC:ai]
GO:0031902	0.002699798	4.155233205	late endosome membrane	"The lipid bilayer surrounding a late endosome." [GOC:pz]
GO:0006382	0.00912622	8.679879937	adenosine to inosine editing	"The conversion of an adenosine residue to inosine in an RNA molecule by deamination." [PMID:11092837]
GO:0006824	0.000767844	13.22743313	cobalt ion transport	"The directed movement of cobalt (Co) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore." [GOC:ai]
GO:0051591	0.007301512	4.629672447	response to cAMP	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cAMP (cyclic AMP, adenosine 3',5'-cyclophosphate) stimulus." [GOC:ai]
GO:0045806	0.000869587	8.267542566	negative regulation of endocytosis	"Any process that stops, prevents, or reduces the frequency, rate or extent of endocytosis." [GOC:go_curators]
GO:0030864	0.001637296	4.026382019	cortical actin cytoskeleton	"The portion of the actin cytoskeleton, comprising filamentous actin and associated proteins, that lies just beneath the plasma membrane." [GOC:mah]
GO:0031419	0.00912622	8.679879937	cobalamin binding	"Interacting selectively and non-covalently with cobalamin (vitamin B12), a water-soluble vitamin characterized by possession of a corrin nucleus containing a cobalt atom." [GOC:mah]
GO:0004118	0.000180064	23.14821441	cGMP-stimulated cyclic-nucleotide phosphodiesterase activity	"Catalysis of the reaction: nucleoside 3',5'-cyclic phosphate + H2O = nucleoside 5'-phosphate; catalytic activity is increased in the presence of cGMP." [GOC:mah]
GO:0003842	0.009734104	23.14516684	1-pyrroline-5-carboxylate dehydrogenase activity	"Catalysis of the reaction: 1-pyrroline-5-carboxylate + NAD+ + H2O = L-glutamate + NADH + H(+)." [EC:1.5.1.12]
GO:0001875	0.003400633	13.88793175	lipopolysaccharide receptor activity	"Combining with a lipopolysaccharide and transmitting the signal across the cell membrane to initiate a change in cell activity. Lipopolysaccharides (LPS) are major components of the outer membrane of Gram-negative bacteria, making them prime targets for recognition by the immune system." [PMID:14609719, PMID:15379975]
GO:0035591	0.001556426	10.28794238	signaling adaptor activity	"The binding activity of a molecule that brings together two or more molecules in a signaling pathway, permitting those molecules to function in a coordinated way. Adaptor molecules themselves do not have catalytic activity." [GOC:bf]
GO:0048030	0.005004746	46.29047128	disaccharide binding	"Interacting selectively and non-covalently with any disaccharide. Disaccharides are sugars composed of two monosaccharide units." [GOC:jid]
GO:0015992	1.19196E-05	4.855828173	proton transport	"The directed movement of protons (hydrogen ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore." [GOC:jl]
GO:0004198	1.95344E-05	7.185867006	calcium-dependent cysteine-type endopeptidase activity	"Catalysis of the hydrolysis of nonterminal peptide bonds in a polypeptide chain by a mechanism using a cysteine residue at the enzyme active center, and requiring the presence of calcium." [GOC:mah]
GO:1901898	0.009734104	23.14516684	negative regulation of relaxation of cardiac muscle	"Any process that stops, prevents or reduces the frequency, rate or extent of relaxation of cardiac muscle." [GOC:BHF, GOC:rl, GOC:TermGenie, PMID:19708671]
GO:0046069	0.002780405	8.417357362	cGMP catabolic process	"The chemical reactions and pathways resulting in the breakdown of cyclic GMP, guanosine 3',5'-phosphate." [GOC:go_curators]
GO:0035229	3.61117E-10	92.61890013	positive regulation of glutamate-cysteine ligase activity	"Any process that activates or increases the activity of glutamate-cysteine ligase, typically by lowering its sensitivity to inhibition by glutathione and by increasing its affinity for glutamate." [PMID:12954617]
GO:0005945	0.001292998	23.14669052	6-phosphofructokinase complex	"A protein complex that possesses 6-phosphofructokinase activity; homodimeric, homooctameric, and allosteric homotetrameric forms are known." [GOC:mah, GOC:vw, ISBN:0198506732]
GO:0005996	0.009734104	23.14516684	monosaccharide metabolic process	"The chemical reactions and pathways involving monosaccharides, the simplest carbohydrates. They are polyhydric alcohols containing either an aldehyde or a keto group and between three to ten or more carbon atoms. They form the constitutional repeating units of oligo- and polysaccharides." [ISBN:0198506732]
GO:1903122	0.005004746	46.29047128	negative regulation of TRAIL-activated apoptotic signaling pathway	"Any process that stops, prevents or reduces the frequency, rate or extent of TRAIL-activated apoptotic signaling pathway." [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:21785459]
GO:0089701	0.006846663	9.919892272	U2AF	"A heterodimeric protein complex consisting of conserved large and small U2AF subunits that contributes to spliceosomal RNA splicing by binding to consensus sequences at the 3' splice site. U2AF is required to stabilize the association of the U2 snRNP with the branch point." [GOC:dos, GOC:mah, PMID:15231733, PMID:1538748, PMID:2963698, PMID:8657565]
GO:1904453	1.42254E-05	92.59368334	positive regulation of hydrogen:potassium-exchanging ATPase activity	"Any process that activates or increases the frequency, rate or extent of hydrogen:potassium-exchanging ATPase activity." [GO_REF:0000059, GOC:TermGenie, PMID:11897793]
GO:0016491	0.000582489	1.785643307	oxidoreductase activity	"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced." [GOC:go_curators]
GO:0015889	0.003400633	13.88793175	cobalamin transport	"The directed movement of cobalamin (vitamin B12), a water-soluble vitamin characterized by possession of a corrin nucleus containing a cobalt atom, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore." [GOC:ai]
GO:0106044	0.005004746	46.29047128	guanine deglycation	"The removal of a sugar or dicarbonyl from a glycated guanine." [PMID:28596309]
GO:0004165	6.72731E-06	19.84388057	dodecenoyl-CoA delta-isomerase activity	"Catalysis of the reaction: 3-cis-dodecenoyl-CoA = 2-trans-dodecenoyl-CoA." [EC:5.3.3.8]
GO:0005997	9.17145E-07	34.72710068	xylulose metabolic process	"The chemical reactions and pathways involving xylulose, the ketopentose threo-2-pentulose." [ISBN:0198547684]
GO:0001836	0.00576586	4.085176924	release of cytochrome c from mitochondria	"The process that results in the movement of cytochrome c from the mitochondrial intermembrane space into the cytosol, which is part of the apoptotic signaling pathway and leads to caspase activation." [GOC:add, GOC:mah, GOC:mtg_apoptosis, ISBN:0721639976, PMID:12925707, PMID:9560217]
GO:0042732	0.000667132	34.72013898	D-xylose metabolic process	"The chemical reactions and pathways involving D-xylose, a naturally occurring plant polysaccharide." [ISBN:0198506732]
GO:0042167	0.003400633	13.88793175	heme catabolic process	"The chemical reactions and pathways resulting in the breakdown of heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring." [GOC:jl]
GO:0002866	0.009734104	23.14516684	positive regulation of acute inflammatory response to antigenic stimulus	"Any process that activates or increases the frequency, rate, or extent of an acute inflammatory response to an antigenic stimulus." [GOC:add]
GO:2000277	0.009734104	23.14516684	positive regulation of oxidative phosphorylation uncoupler activity	"Any process that activates or increases the frequency, rate or extent of oxidative phosphorylation uncoupler activity." [GOC:mah]
GO:0042802	0.001116901	1.497554292	identical protein binding	"Interacting selectively and non-covalently with an identical protein or proteins." [GOC:jl]
GO:1900244	0.00494423	11.57324205	positive regulation of synaptic vesicle endocytosis	"Any process that activates or increases the frequency, rate or extent of synaptic vesicle endocytosis." [GOC:BHF, GOC:TermGenie]
GO:0001772	5.62357E-05	5.384904772	immunological synapse	"An area of close contact between a lymphocyte (T-, B-, or natural killer cell) and a target cell formed through the clustering of particular signaling and adhesion molecules and their associated membrane rafts on both the lymphocyte and the target cell and facilitating activation of the lymphocyte, transfer of membrane from the target cell to the lymphocyte, and in some situations killing of the target cell through release of secretory granules and/or death-pathway ligand-receptor interaction." [GOC:mgi_curators, PMID:11244041, PMID:11376300]
GO:0097191	0.000530417	4.3412161	extrinsic apoptotic signaling pathway	"A series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with either a ligand binding to a cell surface receptor, or a ligand being withdrawn from a cell surface receptor (e.g. in the case of signaling by dependence receptors), and ends when the execution phase of apoptosis is triggered." [GOC:mtg_apoptosis, GOC:yaf, PMID:17340152]
GO:0008445	0.009734104	23.14516684	D-aspartate oxidase activity	"Catalysis of the reaction: D-aspartate + H2O + O2 = oxaloacetate + NH3 + hydrogen peroxide." [EC:1.4.3.1]
GO:0004478	0.000180064	23.14821441	methionine adenosyltransferase activity	"Catalysis of the reaction: ATP + L-methionine + H2O = phosphate + diphosphate + S-adenosyl-L-methionine." [EC:2.5.1.6]
GO:0034383	0.000869587	8.267542566	low-density lipoprotein particle clearance	"The process in which a low-density lipoprotein particle is removed from the blood via receptor-mediated endocytosis and its constituent parts degraded." [GOC:BHF, GOC:mah]
GO:0005777	0.000128237	2.741107854	peroxisome	"A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism." [GOC:pm, PMID:9302272, UniProtKB-KW:KW-0576]
GO:0030672	0.007626305	3.036152681	synaptic vesicle membrane	"The lipid bilayer surrounding a synaptic vesicle." [GOC:mah]
GO:0004364	3.81258E-10	8.75164371	glutathione transferase activity	"Catalysis of the reaction: R-X + glutathione = H-X + R-S-glutathione. R may be an aliphatic, aromatic or heterocyclic group; X may be a sulfate, nitrile or halide group." [EC:2.5.1.18]
GO:0008081	0.002907579	3.631584701	phosphoric diester hydrolase activity	"Catalysis of the hydrolysis of a phosphodiester to give a phosphomonoester and a free hydroxyl group." [EC:3.1.4, GOC:curators]
GO:0009384	0.009734104	23.14516684	N-acylmannosamine kinase activity	"Catalysis of the reaction: ATP + N-acyl-D-mannosamine = ADP + N-acyl-D-mannosamine 6-phosphate." [EC:2.7.1.60]
GO:0006749	1.29336E-06	6.144346585	glutathione metabolic process	"The chemical reactions and pathways involving glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins; it has a specific role in the reduction of hydrogen peroxide (H2O2) and oxidized ascorbate, and it participates in the gamma-glutamyl cycle." [CHEBI:16856, ISBN:0198506732]
GO:0050436	0.000667132	34.72013898	microfibril binding	"Interacting selectively and non-covalently with a microfibril, any small fibril occurring in biological material." [GOC:ai]
GO:0060481	0.000667132	34.72013898	lobar bronchus epithelium development	"The biological process whose specific outcome is the progression of a lobar bronchus epithelium from an initial condition to its mature state. This process begins with the formation of the lobar bronchus epithelium and ends with the mature structure. The lobar bronchus epithelium is the tissue made up of epithelial cells that lines the inside of the lobar bronchus." [GOC:dph, GOC:mtg_lung]
GO:0032420	0.003060357	4.05134033	stereocilium	"An actin-based protrusion from the apical surface of auditory and vestibular hair cells and of neuromast cells. These protrusions are supported by a bundle of cross-linked actin filaments (an actin cable), oriented such that the plus (barbed) ends are at the tip of the protrusion, capped by a tip complex which bridges to the plasma. Bundles of stereocilia act as mechanosensory organelles." [GOC:ecd, PMID:15661519, PMID:7840137]
GO:0051016	4.26909E-08	14.47309321	barbed-end actin filament capping	"The binding of a protein or protein complex to the barbed (or plus) end of an actin filament, thus preventing the addition, exchange or removal of further actin subunits." [ISBN:071673706X]
GO:0035455	0.002107763	9.259120622	response to interferon-alpha	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-alpha stimulus. Interferon-alpha is a type I interferon." [GOC:sl, PMID:11356686]
GO:0004503	4.12645E-05	46.29670405	monophenol monooxygenase activity	"Catalysis of the reaction: L-tyrosine + L-DOPA + O2 = L-DOPA + DOPAquinone + H2O." [EC:1.14.18.1, GOC:bf, GOC:sart, PMID:4965136]
GO:0043065	0.005470279	1.786466491	positive regulation of apoptotic process	"Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process." [GOC:jl, GOC:mtg_apoptosis]
GO:1903135	0.009734104	23.14516684	cupric ion binding	"Interacting selectively and non-covalently with cupric ion, copper(2+)." [GO_REF:0000067, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:24567322]
GO:0033177	0.003400633	13.88793175	proton-transporting two-sector ATPase complex, proton-transporting domain	"A protein complex that forms part of a proton-transporting two-sector ATPase complex and carries out proton transport across a membrane. The proton-transporting domain (F0, V0, or A0) includes integral and peripheral membrane proteins." [GOC:mah, PMID:10838056]
GO:1903168	0.005004746	46.29047128	positive regulation of pyrroline-5-carboxylate reductase activity	"Any process that activates or increases the frequency, rate or extent of pyrroline-5-carboxylate reductase activity." [GO_REF:0000059, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:23743200]
GO:0036470	0.005004746	46.29047128	tyrosine 3-monooxygenase activator activity	"Interacts with and increases tyrosine 3-monooxygenase (tyrosine hydroxylase) activity." [GOC:bf, GOC:PARL, PMID:19703902]
GO:0070820	0.00219292	17.35996629	tertiary granule	"A secretory granule that contains cathepsin and gelatinase and is readily exocytosed upon cell activation; found primarily in mature neutrophil cells." [GOC:BHF, GOC:mah, GOC:rl, PMID:12070036]
GO:0016857	0.003400633	13.88793175	racemase and epimerase activity, acting on carbohydrates and derivatives	"Catalysis of a reaction that alters the configuration of one or more chiral centers in a carbohydrate molecule." [GOC:mah]
GO:0097192	0.004881269	3.682992867	extrinsic apoptotic signaling pathway in absence of ligand	"A series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with withdrawal of a ligand from a cell surface receptor, and ends when the execution phase of apoptosis is triggered." [GOC:mtg_apoptosis, PMID:15044679, PMID:20816705]
GO:0006006	4.16428E-05	4.240187199	glucose metabolic process	"The chemical reactions and pathways involving glucose, the aldohexose gluco-hexose. D-glucose is dextrorotatory and is sometimes known as dextrose; it is an important source of energy for living organisms and is found free as well as combined in homo- and hetero-oligosaccharides and polysaccharides." [ISBN:0198506732]
GO:0085032	0.005004746	46.29047128	modulation by symbiont of host I-kappaB kinase/NF-kappaB cascade	"Any process in which an organism modulates the frequency, rate or extent of host NF-kappaB-mediated signal transduction pathways during the host defense response. The host is defined as the larger of the organisms involved in a symbiotic interaction." [GOC:pamgo_curators]
GO:0010273	2.57717E-05	23.14973851	detoxification of copper ion	"Any process that reduces or removes the toxicity of copper ion. These include transport of copper away from sensitive areas and to compartments or complexes whose purpose is sequestration of copper ion." [GOC:kmv, PMID:16367966]
GO:0045780	0.009637523	4.286708261	positive regulation of bone resorption	"Any process that activates or increases the frequency, rate or extent of bone resorption." [GOC:go_curators]
GO:1902236	0.006296085	4.822589802	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	"Any process that stops, prevents or reduces the frequency, rate or extent of an endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway." [GOC:BHF, GOC:mtg_apoptosis, GOC:rl, GOC:TermGenie, PMID:20160352]
GO:0042438	0.000118233	9.92173383	melanin biosynthetic process	"The chemical reactions and pathways resulting in the formation of melanins, pigments largely of animal origin. High molecular weight polymers of indole quinone, they are irregular polymeric structures and are divided into three groups: allomelanins in the plant kingdom and eumelanins and phaeomelanins in the animal kingdom." [CHEBI:25179, GOC:curators]
GO:0016684	0.001292998	23.14669052	oxidoreductase activity, acting on peroxide as acceptor	"Catalysis of an oxidation-reduction (redox) reaction in which the peroxide group acts as a hydrogen or electron acceptor." [GOC:ai]
GO:0035655	0.00494423	11.57324205	interleukin-18-mediated signaling pathway	"A series of molecular signals initiated by the binding of interleukin-18 to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription." [GOC:bf, GOC:BHF, GOC:signaling]
GO:0045127	0.009734104	23.14516684	N-acetylglucosamine kinase activity	"Catalysis of the reaction: N-acetyl-D-glucosamine + ATP = N-acetyl-D-glucosamine 6-phosphate + ADP + 2 H(+)." [EC:2.7.1.59, RHEA:17420]
GO:0097470	0.002107763	9.259120622	ribbon synapse	"Type of synapse characterized by an electron-dense ribbon, lamella (bar) or spherical body in the presynaptic process cytoplasm." [NIF_Subcellular:sao1884931180, PMID:15626493]
GO:0035731	0.000667132	34.72013898	dinitrosyl-iron complex binding	"Interacting selectively and non-covalently with a dinitrosyl-iron complex. Nitric oxide (NO) is stored as dinitrosyl-iron complexes, which form spontaneously from Glutathione (GSH), S-nitrosoglutathione, and trace amounts of ferrous ions, or by reaction of iron-sulfur centers with NO." [GOC:BHF, PMID:10534443]
GO:1903208	7.55342E-05	16.5354292	negative regulation of hydrogen peroxide-induced neuron death	"Any process that stops, prevents or reduces the frequency, rate or extent of hydrogen peroxide-induced neuron death." [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:24252804]
GO:0097057	0.001292998	23.14669052	TRAF2-GSTP1 complex	"A protein complex comprising tumor necrosis factor (TNF) receptor-associated factor 2 (TRAF2) and glutathione S-transferase pi 1 (GSTP1). This complex is thought to disrupt the TNF signaling cascade, thus down-regulating inflammatory responses." [GOC:BHF, PMID:16636664]
GO:0006979	1.22737E-06	3.614784412	response to oxidative stress	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals." [GOC:jl, PMID:12115731]
GO:0016126	0.000504434	5.787835513	sterol biosynthetic process	"The chemical reactions and pathways resulting in the formation of sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule." [GOC:go_curators]
GO:0017109	3.68565E-09	46.30917475	glutamate-cysteine ligase complex	"An enzyme complex that catalyzes the ligation of glutamate to cysteine, forming glutamylcysteine." [EC:6.3.2.2]
GO:1903769	0.005004746	46.29047128	negative regulation of cell proliferation in bone marrow	"Any process that stops, prevents or reduces the frequency, rate or extent of cell proliferation in bone marrow." [GO_REF:0000058, GOC:TermGenie, PMID:9241534]
GO:0005770	0.003654628	2.446082292	late endosome	"A prelysosomal endocytic organelle differentiated from early endosomes by lower lumenal pH and different protein composition. Late endosomes are more spherical than early endosomes and are mostly juxtanuclear, being concentrated near the microtubule organizing center." [NIF_Subcellular:nlx_subcell_20090702, PMID:11964142, PMID:2557062]
GO:0061615	0.001113999	11.57396959	glycolytic process through fructose-6-phosphate	"The chemical reactions and pathways resulting in the breakdown of a monosaccharide into pyruvate, occurring through a fructose-6-phosphate intermediate, with the concomitant production of ATP and NADH." [GOC:dph, ISBN:0201090910, ISBN:0879010479]
GO:0006004	0.00494423	11.57324205	fucose metabolic process	"The chemical reactions and pathways involving fucose, or 6-deoxygalactose, which has two enantiomers, D-fucose and L-fucose." [ISBN:0198506732]
GO:0051289	0.000208797	3.541656001	protein homotetramerization	"The formation of a protein homotetramer, a macromolecular structure consisting of four noncovalently associated identical subunits." [GOC:go_curators]
GO:0042470	0.00055046	4.874157312	melanosome	"A tissue-specific, membrane-bounded cytoplasmic organelle within which melanin pigments are synthesized and stored. Melanosomes are synthesized in melanocyte cells." [GOC:jl, PMID:11584301]
GO:0004163	0.009734104	23.14516684	diphosphomevalonate decarboxylase activity	"Catalysis of the reaction: (R)-5-diphosphomevalonate + ATP = ADP + CO(2) + H(+) + isopentenyl diphosphate + phosphate." [EC:4.1.1.33, RHEA:23735]
GO:0046295	4.12645E-05	46.29670405	glycolate biosynthetic process	"The chemical reactions and pathways resulting in the formation of glycolate, the anion of hydroxyethanoic acid (glycolic acid)." [GOC:ai]
GO:0008428	0.000275388	69.44048438	ribonuclease inhibitor activity	"Stops, prevents or reduces the activity of a ribonuclease, any enzyme that catalyzes the hydrolysis of phosphodiester bonds in chains of RNA." [GOC:ai]
GO:0030229	0.00031344	18.51851648	very-low-density lipoprotein particle receptor activity	"Combining with a very-low-density lipoprotein particle and delivering the very-low-density lipoprotein into the cell via endocytosis." [GOC:bf, ISBN:0198506732]
GO:0005765	6.27481E-05	2.598016216	lysosomal membrane	"The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm." [GOC:ai]
GO:0016763	0.00912622	8.679879937	transferase activity, transferring pentosyl groups	"Catalysis of the transfer of a pentosyl group from one compound (donor) to another (acceptor)." [GOC:jl]
GO:0030628	0.002107763	9.259120622	pre-mRNA 3'-splice site binding	"Interacting selectively and non-covalently with the pre-mRNA 3' splice site sequence." [GOC:jl]
GO:0061646	0.009734104	23.14516684	positive regulation of glutamate neurotransmitter secretion in response to membrane depolarization	"Any process that activates or increases the frequency, rate or extent of glutamate secretion in response to membrane depolarization, where glutamate acts as a neurotransmitter." [GOC:pad, GOC:PARL]
GO:0051640	0.000275388	69.44048438	organelle localization	"Any process in which an organelle is transported to, and/or maintained in, a specific location." [GOC:ai]
GO:0071482	0.000505219	15.43205119	cellular response to light stimulus	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light." [GOC:mah]
GO:0005856	0.00045204	1.548392266	cytoskeleton	"Any of the various filamentous elements that form the internal framework of cells, and typically remain after treatment of the cells with mild detergent to remove membrane constituents and soluble components of the cytoplasm. The term embraces intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles." [GOC:mah, ISBN:0198547684, PMID:16959967]
GO:0043295	8.49346E-07	11.57760876	glutathione binding	"Interacting selectively and non-covalently with glutathione; a tripeptide composed of the three amino acids cysteine, glutamic acid and glycine." [GOC:bf, ISBN:0198506732]
GO:0006556	0.000180064	23.14821441	S-adenosylmethionine biosynthetic process	"The chemical reactions and pathways resulting in the formation of S-adenosylmethionine, S-(5'-adenosyl)-L-methionine, an important intermediate in one-carbon metabolism." [GOC:go_curators, ISBN:0198506732]
GO:0000221	0.001292998	23.14669052	vacuolar proton-transporting V-type ATPase, V1 domain	"The V1 domain of a proton-transporting V-type ATPase found in the vacuolar membrane." [GOC:mah, PMID:16449553]
GO:0005903	0.008059552	2.601339776	brush border	"The dense covering of microvilli on the apical surface of a epithelial cells in tissues such as the intestine, kidney, and choroid plexus; the microvilli aid absorption by increasing the surface area of the cell." [GOC:sl, ISBN:0815316194]
GO:0019894	0.000779739	4.085814006	kinesin binding	"Interacting selectively and non-covalently and stoichiometrically with kinesin, a member of a superfamily of microtubule-based motor proteins that perform force-generating tasks such as organelle transport and chromosome segregation." [GOC:curators, PMID:8606779]
GO:1990796	4.12645E-05	46.29670405	photoreceptor cell terminal bouton	"A specialized region of the axon terminus portion of a photoreceptor cell axon. A photoreceptor cell is a neuron specialized to detect and transduce light." [PMID:19883736]
